kkID,datasetID,speciesID,id,taxonRank,kingdom,phylum,phyloGroup,phyloGroupSort,taxonClass,taxonOrder,taxonFamily,genus,species,scientificNameAuthorship,taxonomicRemarks_EN-US,taxonomicRemarks_ID,recognitionBasedOn,mainCommonName_EN,otherCommonName_EN,commonNameRemarks_EN,mainCommonName_ID,otherCommonName_ID,commonNameRemarks_ID,typeVoucher,verbatimTypeLocality,typeLocality,typeLocalityLatitude,typeLocalityLongitude,typeLocalityElevationInMeters,typeLocalityDepthInMeters,originalNameAsDescribed,synonymsWithAuthorYears,countryDistribution,biogeographicRegion,distributionStatus,nativeLocalDistribution_ID,introducedLocalDistribution_ID,distributionRemarks_EN-US,distributionRemarks_ID,keyMeasurements,keyCharacters_EN-US,keyCharacters_ID,characterRemarks_EN-US,characterRemarks_ID,habitatRemarks_EN-US,habitatRemarks_ID,additionalRemarks_EN-US,additionalRemarks_ID,iucnStatus,citesStatus,countryStatus,countryStatusReference,symbionts,symbiontRemarks_EN-US,symbiontRemarks_ID,referenceURIs,externalTaxonIdentifiers,externalURIs,associatedData,externalAssociatedDataURIs,contributorNameOrcid,datasetNames
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Hylopetes,Hylopetes sipora,"Chasen, 1940",,,,Sipora Flying Squirrel,,,,,,BMNH:Mamm:1947.1475,"""Sipora Island, Mentawi Islands, West Sumatra,"" Indonesia.",,,,,,Hylopetes sagitta sipora,,,,,,,,,,,,,,,,,,EN,,,,,,,,mdd:1001630,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Hylopetes,Hylopetes spadiceus,"(Blyth, 1847)",,,,Red-cheeked Flying Squirrel,,,,,,ZSI 9765,"""Arakan, Myanmar.""",,,,,,Sciuropterus spadiceus,,,,,,,,,,,,,,,,,,LC,,,,,,,,mdd:1001631,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Hylopetes,Hylopetes winstoni,"(Sody, 1949)",,,,Sumatran Flying Squirrel,,,,,,"RMNH.MAM.9845.a (= MZB 3112), RMNH.MAM.9845.b","Baleq, Aceh, northern Sumatra, Indonesia.",,,,,,Iomys winstoni,,,,,,,,,,,,,,,,,,DD,,,,,,,,mdd:1001632,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Iomys,Iomys horsfieldii,"(Waterhouse, 1838)",,,,Javanese Flying Squirrel,,,,,,,"""Either from Java or Sumatra."" Restricted by F. N. Chasen in 1940 to Sumatra, Indonesia.",,,,,,Pteromys (Sciuropterus) Horsfieldii,,,,,,,,,,,,,,,,,,LC,,,,,,,,mdd:1001633,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Iomys,Iomys sipora,"Chasen & Kloss, 1928",,,,Mentawai Flying Squirrel,,,,,,BMNH:Mamm:1947.1473 (= ZRC RM 2243),"""Sipora I, W Sumatra, Indonesia.""",,,,,,Iomys horsfieldi sipora,,,,,,,,,,,,,,,,,,EN,,,,,,,,mdd:1001634,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Petaurillus,Petaurillus emiliae,"Thomas, 1908",,,,Lesser Pygmy Flying Squirrel,,,,,,BMNH:Mamm:1903.4.9.1,"Baram, E Sarawak, Malaysia.",,,,,,Petaurillus emiliae,,,,,,,,,,,,,,,,,,DD,,,,,,,,mdd:1001635,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Petaurista,Petaurista elegans,"(Temminck, 1836)",,,,Spotted Giant Flying Squirrel,Lesser Giant Flying Squirrel,,,,,"RMNH.MAM.13310.a, RMNH.MAM.13310.b, RMNH.MAM.60454.a, RMNH.MAM.60454.b, RMNH.MAM.60455.a, RMNH.MAM.60455.b","""Java, Indonesia.""",,,,,,Pteromys elegans,,Lesser Giant Flying Squirrel,,,,,,,,,,,,,,,,LC,,,,,,,,mdd:1001641,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Petaurista,Petaurista petaurista,"(Pallas, 1766)",,,,Red Giant Flying Squirrel,,,,,,,"type locality not given. Restricted by H. C. Robinson and C. B. Kloss in 1918 to Preanger Regencies, Western Java, Indonesia.",,,,,,Sciurus petaurista,,,,,,,,,,,,,,,,,,LC,,,,,,,,mdd:1001651,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Petinomys,Petinomys genibarbis,"(Horsfield, 1822)",,,,Whiskered Flying Squirrel,,,,,,,"""Pugar, E Java, Indonesia.""",,,,,,Pteromys genibarbis,,,,,,,,,,,,,,,,,,VU,,,,,,,,mdd:1001659,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Petinomys,Petinomys hageni,"(Jentink, 1889)",,,,Hagen's Flying Squirrel,,,,,,"RMNH.MAM.13313.a, RMNH.MAM.13313.b","""Deli [north-eastern Sumatra, Indonesia].""",,,,,,Sciuropterus hageni,,,,,,,,,,,,,,,,,,DD,,,,,,,,mdd:1001660,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Petinomys,Petinomys lugens,"(Thomas, 1895)",,,,Siberut Flying Squirrel,Sipora Flying Squirrel,,,,,,"""Mentawai Is, Sipora I, Indonesia.""",,,,,,Sciuropterus lugens,,Sipora Flying Squirrel,,,,,,,,,,,,,,,,VU,,,,,,,,mdd:1001661,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Petinomys,Petinomys setosus,"(Temminck, 1844)",,,,Temminck's Flying Squirrel,White-bellied Flying Squirrel,,,,,"RMNH.MAM.13316.a, RMNH.MAM.13316.b","""Padang, Sumatra, Indonesia.""",,,,,,Pteromys (Sciuropterus) setosus,,White-bellied Flying Squirrel,,,,,,,,,,,,,,,,VU,,,,,,,,mdd:1001663,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Petinomys,Petinomys vordermanni,"(Jentink, 1890)",,,,Vordermann's Flying Squirrel,,,,,,"RMNH.MAM.13317.a, RMNH.MAM.13317.b","""Belitung I, Indonesia.""",,,,,,Sciuropterus vordermanni,,,,,,,,,,,,,,,,,,VU,,,,,,,,mdd:1001664,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Pteromyscus,Pteromyscus pulverulentus,"(Günther, 1873)",,,,Smoky Flying Squirrel,,,,,,,"""Penang, Malaysia.""",,,,,,Sciuropterus pulverulentus,,,,,,,,,,,,,,,,,,EN,,,,,,,,mdd:1001667,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Rheithrosciurus,Rheithrosciurus macrotis,"(Gray, 1857)",,,,Tufted Ground Squirrel,Groove-toothed Squirrel,,,,,,"""Sarawak,"" Malaysia.",,,,,,Sciurus macrotis,,Groove-toothed Squirrel,,,,,,,,,,,,,,,,VU,,,,,,,,mdd:1001673,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Muridae,Anisomys,Anisomys imitator,"Thomas, 1904",,,,Uneven-toothed Rat,Husk Shredder|Squirrel-toothed Rat,,,,,BMNH:Mamm:1903.12.1.10,"""Avera, Aroa River, British New Guinea [= Central Province, Papua New Guinea].""",,,,,,Anisomys imitator,,Husk Shredder;Squirrel-toothed Rat,,,,,,,,,,,,,,,,LC,,,,,,,,mdd:1003128,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Muridae,Baiyankamys,Baiyankamys habbema,"(Tate & Archbold, 1941)",,,,Mountain Water Rat,Mountain Baiyankamys|New Guinea Mountain Water Rat,,,,,AMNH M-110055,"""Lake Habbema, 15 km N Mt Wilhelmina, Netherlands New Guinea"" (= 24 km N of Gunung Trikora, 3225 m, Pengunungan Maoke, Papua Province, Indonesia).",,-4.15,138.68333333333334,,,Hydromys habbema,,Mountain Baiyankamys;New Guinea Mountain Water Rat,,,,,,,,,,,,,,,,DD,,,,,,,,mdd:1003150,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Muridae,Brassomys,Brassomys albidens,"(Tate, 1951)",,,,White-toothed Mouse,White-toothed Brush Mouse|White-toothed Coccymys|White-toothed Melomys,,,,,AMNH M-150821,"""Lake Habbema, 15 miles [= 24 km] north of Mt. Wilhelmina [Snow Mountains], Netherlands New Guinea, altitude 3225 meters.""",,-4.816666666666666,138.68333333333334,,,Melomys albidens,,White-toothed Brush Mouse;White-toothed Coccymys;White-toothed Melomys,,,,,,,,,,,,,,,,DD,,,,,,,,mdd:1003152,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Muridae,Chiropodomys,Chiropodomys gliroides,"(Blyth, 1856)",,,,Indomalayan Pencil-tailed Tree Mouse,Pencil-tailed Tree Mouse,,,,,lost (number not known),"""Cherra[punji],"" E Khasi Hills, Meghalaya State, India.",,,,,,Mus gliroides,,Pencil-tailed Tree Mouse,,,,,,,,,,,,,,,,LC,,,,,,,,mdd:1003154,,,,,Lagomorpha_Rodentia
