nama_species;nama_indonesia
 Kerivoula papillosa;Lenawai Kupu-kupu
 Kerivoula pellucida;Lenawai Sayap-terawang
 Kerivoula picta;Lenawai Tercat
 Kerivoula whiteheadi;Lenawai Sutera
 Phoniscus atrox;Lenawai Gigi-berlekuk
 Phoniscus jagori;Lenawai Terumpet
 Phoniscus papuensis;Lenawai Emas
 Harpiocephalus harpia;Bangkalit Harpia
 Murina aenea;Pungit Kalimantan
 Murina cyclotis;Pungit Tumpul
 Murina florium;Pungit Flores
 Murina peninsularis;Pungit Peninsula
 Murina rozendaali;Pungit Rozendal
 Murina suilla;Pungit Coklat
 Arielulus circumdatus;Sekiwen Sepuhan
 Arielulus cuprosus;Sekiwen Sabah
 Falsistrellus mordax;Sekiwen Jamur
 Falsistrellus petersi;Sekiwen Peter
 Glischropus aquilus;Kesindap Hitam
 Glischropus javanus;Kesindap Jawa
 Glischropus tylopus;Kesindap Tilopi
 Hesperoptenus blanfordi;Bangkalit Blanford
 Hesperoptenus gaskelli;Bangkalit Sulawesi
 Hypsugo imbricatus;Sekiwen Coklat
 Hypsugo kitcheneri;Sekiwen Kalimantan
 Hypsugo macrotis;Sekiwen Sumatra
 Hypsugo vordermanni;Sekiwen Vonderman
 Myotis adversus;Lasiwen Kaki Besar
 Myotis ater;Lasiwen Hitam
 Myotis bartelsi;Lasiwen Bali
 Myotis borneoensis;Lasiwen Borneo
 Myotis hasseltii;Lasiwen Haselti
 Myotis hermani;Lasiwen Herman
 Myotis horsfieldii;Lasiwen Deignan
 Myotis macrotarsus;Lasiwen Filipina
 Myotis molluccarum;Lasiwen Maluku
 Myotis montivagus;Lasiwen Berjambang
 Myotis muricola;Lasiwen Biasa
 Myotis ridleyi;Lasiwen Ridley
 Myotis weberi;Lasiwen Weber
 Myotis siligorensis;Lasiwen Himalaya
 Myotis stalkeri;Lasiwen Kei
Nyctophilus bifax;Sekiwen Bifax
Nyctophilus heran;Sekiwen Lembata
Nyctophilus microtis;Sekiwen Papua
Nyctophilus timoriensis;Sekiwen Brachipteri
Philetor brachypterus;-
Pipistrellus angulatus;Sekiwen Papua
Pipistrellus collinus;Sekiwen Gunung
Pipistrellus javanicus;Sekiwen Jawa
Pipistrellus minahassae;Sekiwen Minahasa
Pipistrellus papuanus;Sekiwen Irian
Pipistrellus stenopterus;Sekiwen Noktu
Pipistrellus tenuis;Sekiwen Kecil
Scotophilus celebensis;Pedan Sulawesi
Scotophilus kuhlii;Pedan asia
Scotorepens sanborni;-
Tylonycteris pachypus;Kekeki Kecil
Tylonycteris robustula;Kekeki Besar
Miniopterus australis;Tomosu Australia
Miniopterus macrocneme;Tomusu Makro
Miniopterus medius;Tomosu Jawa
Miniopterus magnater;Tomosu Besar
Miniopterus paululus;Tomosu Filipina
Miniopterus pusillus;Tomosu Dani
Miniopterus schreibersi;Tomosu Biasa
Miniopterus shortridgei;Tomosu Shortridge
Miniopterus tristis;Tomosu Besar
Chaerephon jobensis;Tayo Yobi
Chaerephon johorensis;Tayo Johor
Chaerephon plicatus;Tayo Kecil
Cheiromeles parvidens;Tayo Sangir
Cheiromeles torquatus;Tayo Gundul
Mops mops;Tayo Malaya
Mops sarasinorum;Tayo Sulawesi
Mormopterus beccarii;Tayo Bekari
Mormopterus doriae;Tayo Sumatra
Otomops formosus;Otomop Jawa
Otomops johnstonei;Otomop Alor
Tadarida kuboriensis;Tayo Li
Nycticebus coucang;Kukang Bukang
Nycticebus javanicus;Kukang Pukang
Nycticebus menagensis;Kukang Songneung
Nycticebus kayan;Kukang Bengkong
Nycticebus bancanus;Kukang Semunding
Nycticebus borneanus;Kukang Bekiki
Cephalopachus bancanus;Krabuku Ingkat
Tarsius dentatus;Krabuku Diana
Tarsius fuscus;Krabuku Balao Cengke
Tarsius lariang;Krabuku Lariang
Tarsius niemitzi;Krabuku Bunsing
Tarsius pelengensis;Krabuku Peleng
Tarsius pumilus;Krabuku Kecil
 Tarsius sangirensis;Krabuku Higo
 Tarsius spectrumgurskyae;Krabuku Tangkasi
 Tarsius supriatnai;Krabuku Mimito
 Tarsius tarsier;Krabuku Tangkasi
 Tarsius tumpara;Krabuku Tumpara
 Tarsius wallacei;Krabuku Wallace
 Macaca brunnescens;Monyet Ndoke
 Macaca fascicularis;Monyet Kra
 Macaca hecki;Monyet Dige
 Macaca maura;Monyet Darre
 Macaca nemestrina;Monyet Beruk
 Macaca nigra;Monyet Yaki
 Macaca nigrescens;Monyet Wolai
 Macaca ochreata;Monyet Hada
 Macaca pagensis;Monyet Siteut
 Macaca siberu;Monyet Bokoi
 Macaca togeanus;Monyet Togean
 Macaca tonkeana;Monyet Boti
 Nasalis larvatus;Bekantan Kahau
 Presbytis canicrus;Lutung Nyakaik
 Presbytis comata;Lutung Surili
 Presbytis carimatae;Lutung Merah
 Presbytis chrysomelas;Lutung Kelasi
 Presbytis femoralis;Lutung Simpai
 Presbytis frontata;Lutung Jirangan
 Presbytis hosei;Lutung Banggat
 Presbytis ignita;Lutung Jelu
 Presbytis melalophos;Lutung Simpai
 Presbytis natunae;Lutung Kokah / Kekah
 Presbytis potenziani;Lutung Joja
 Presbytis rubicunda;Lutung Buhis
 Presbytis rubida;Lutung Aci
 Presbytis sabana;Lutung Monosop
 Presbytis thomasi;Lutung Kedih
 Simias concolor;Bekantan Mentawai
 Trachypithecus auratus;Lutung Budeng
 Trachypithecus cristatus;Lutung Kelabu
 Hylobates abbotti;Owa Abboti
 Hylobates agilis;Owa Ungko
 Hylobates albibarbis;Owa Kelawo
 Hylobates funereus;Owa Wau-Wau
 Hylobates klossii;Owa Bilau
 Hylobates lar;Owa Serudung
 Hylobates moloch;Owa Jawa
 Hylobates muelleri;Owa Kalawat
 Symphalangus syndactylus;Siamang
 Pongo abelii;Mawas Sumatra
 Pongo pygmaeus;Mawas Kalimantan
 Pongo tapanuliensis;Mawas Tapanuli
 Canis lupus familiaris; Anjing Kampung
 Cuon alpinus;Anjing Ajag
 Helarctos malayanus;Beruang Madu
 Aonyx cinereus;Sero Ambrang
 Arctonyx collaris;Babi-batang Sumatra
 Lutra lutra;Berang-berang Pantai
 Lutra sumatrana; Berang-berang Gunung
 Lutrogale perspicillata;Berang-berang Wregul
 Martes flavigula;Musang Bereguk
 Melogale orientalis ;Biul Slentek
Mustela lutreolina;Pulusan Gunung
Mustela nudipes ;Pulusan Chok-Puteh
